"Comment","Designator","Footprint","LCSC Part #"
"4u7","C6","C_0402_1005Metric","C23733"
"22p","C8,C7","C_0402_1005Metric","C1555"
"1u","C9","C_0402_1005Metric","C52923"
"0u1","C10,C1,C2,C3,C4,C5","C_0402_1005Metric","C1525"
"D_Schottky","D1","D_PowerDI-123","C8598"
"5k1","R2,R1","R_0402_1005Metric","C25905"
"10k","R3,R6","R_0402_1005Metric","C25744"
"22","R4,R5","R_0402_1005Metric","C25092"
"0R","R7,R8","R_0603_1608Metric_Pad1.05x0.95mm_HandSolder","C17168"
"ATmega32U4","U1","QFN-44-1EP_7x7mm_P0.5mm_EP5.2x5.2mm","C45874"
"16MHz","X1","Crystal_SMD_SeikoEpson_TSX3225-4Pin_3.2x2.5mm","C13738"
